Date,GEO,Sex,Characteristics,Estimates,UOM,VALUE
2017/2018,Yukon,Both sexes,"High school or less, household education",Number of persons,Number,2100
2017/2018,Yukon,Both sexes,"High school or less, household education",Percentage of persons,Percent,41.7
2017/2018,Yukon,Both sexes,"High school or less, household education","Low 95% confidence interval, percentage",Percent,33
2017/2018,Yukon,Both sexes,"High school or less, household education","High 95% confidence interval, percentage",Percent,50.9
2017/2018,Yukon,Both sexes,"At least post-secondary education, household education",Number of persons,Number,9000
2017/2018,Yukon,Both sexes,"At least post-secondary education, household education",Percentage of persons,Percent,39
2017/2018,Yukon,Both sexes,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,34.5
2017/2018,Yukon,Both sexes,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,43.7
2017/2018,Yukon,Both sexes,"Lowest income, household income",Number of persons,Number,
2017/2018,Yukon,Both sexes,"Lowest income, household income",Percentage of persons,Percent,
2017/2018,Yukon,Both sexes,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Both sexes,"Lowest income, household income","High 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Both sexes,"Middle income, household income",Number of persons,Number,
2017/2018,Yukon,Both sexes,"Middle income, household income",Percentage of persons,Percent,
2017/2018,Yukon,Both sexes,"Middle income, household income","Low 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Both sexes,"Middle income, household income","High 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Both sexes,"Highest income, household income",Number of persons,Number,
2017/2018,Yukon,Both sexes,"Highest income, household income",Percentage of persons,Percent,
2017/2018,Yukon,Both sexes,"Highest income, household income","Low 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Both sexes,"Highest income, household income","High 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Both sexes,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,1800
2017/2018,Yukon,Both sexes,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,37
2017/2018,Yukon,Both sexes,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,27.9
2017/2018,Yukon,Both sexes,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,47
2017/2018,Yukon,Both sexes,"Non-immigrants, immigrant status",Number of persons,Number,10300
2017/2018,Yukon,Both sexes,"Non-immigrants, immigrant status",Percentage of persons,Percent,40.3
2017/2018,Yukon,Both sexes,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,36.2
2017/2018,Yukon,Both sexes,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,44.4
2017/2018,Yukon,Both sexes,"Visible minority, visible minority or Indigenous",Number of persons,Number,800
2017/2018,Yukon,Both sexes,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,29.4
2017/2018,Yukon,Both sexes,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,17.5
2017/2018,Yukon,Both sexes,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,45
2017/2018,Yukon,Both sexes,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,2900
2017/2018,Yukon,Both sexes,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,42.5
2017/2018,Yukon,Both sexes,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,33.5
2017/2018,Yukon,Both sexes,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,52.1
2017/2018,Yukon,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,7800
2017/2018,Yukon,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,39.5
2017/2018,Yukon,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,34.4
2017/2018,Yukon,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,44.8
2017/2018,Yukon,Both sexes,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,Yukon,Both sexes,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,Yukon,Both sexes,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Both sexes,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Males,"Total, selected characteristics",Number of persons,Number,6900
2017/2018,Yukon,Males,"Total, selected characteristics",Percentage of persons,Percent,45.1
2017/2018,Yukon,Males,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,39.3
2017/2018,Yukon,Males,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,51
2017/2018,Yukon,Males,"High school or less, household education",Number of persons,Number,1400
2017/2018,Yukon,Males,"High school or less, household education",Percentage of persons,Percent,46
2017/2018,Yukon,Males,"High school or less, household education","Low 95% confidence interval, percentage",Percent,32.9
2017/2018,Yukon,Males,"High school or less, household education","High 95% confidence interval, percentage",Percent,59.6
2017/2018,Yukon,Males,"At least post-secondary education, household education",Number of persons,Number,5000
2017/2018,Yukon,Males,"At least post-secondary education, household education",Percentage of persons,Percent,45.7
2017/2018,Yukon,Males,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,38.5
2017/2018,Yukon,Males,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,53.1
2017/2018,Yukon,Males,"Lowest income, household income",Number of persons,Number,
2017/2018,Yukon,Males,"Lowest income, household income",Percentage of persons,Percent,
2017/2018,Yukon,Males,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Males,"Lowest income, household income","High 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Males,"Middle income, household income",Number of persons,Number,
2017/2018,Yukon,Males,"Middle income, household income",Percentage of persons,Percent,
2017/2018,Yukon,Males,"Middle income, household income","Low 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Males,"Middle income, household income","High 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Males,"Highest income, household income",Number of persons,Number,
2017/2018,Yukon,Males,"Highest income, household income",Percentage of persons,Percent,
2017/2018,Yukon,Males,"Highest income, household income","Low 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Males,"Highest income, household income","High 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Males,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,800
2017/2018,Yukon,Males,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,31.3
2017/2018,Yukon,Males,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,18.5
2017/2018,Yukon,Males,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,47.7
2017/2018,Yukon,Males,"Non-immigrants, immigrant status",Number of persons,Number,6100
2017/2018,Yukon,Males,"Non-immigrants, immigrant status",Percentage of persons,Percent,47.8
2017/2018,Yukon,Males,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,41.5
2017/2018,Yukon,Males,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,54.2
2017/2018,Yukon,Males,"Visible minority, visible minority or Indigenous",Number of persons,Number,500
2017/2018,Yukon,Males,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,37.2
2017/2018,Yukon,Males,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,18.6
2017/2018,Yukon,Males,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,60.5
2017/2018,Yukon,Males,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,1600
2017/2018,Yukon,Males,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,45.2
2017/2018,Yukon,Males,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,35.4
2017/2018,Yukon,Males,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,55.3
2017/2018,Yukon,Males,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,4700
2017/2018,Yukon,Males,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,46.6
2017/2018,Yukon,Males,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,38.8
2017/2018,Yukon,Males,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,54.5
2017/2018,Yukon,Males,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,Yukon,Males,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,Yukon,Males,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Males,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Females,"Total, selected characteristics",Number of persons,Number,5100
2017/2018,Yukon,Females,"Total, selected characteristics",Percentage of persons,Percent,34.3
2017/2018,Yukon,Females,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,29.1
2017/2018,Yukon,Females,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,39.9
2017/2018,Yukon,Females,"High school or less, household education",Number of persons,Number,700
2017/2018,Yukon,Females,"High school or less, household education",Percentage of persons,Percent,35
2017/2018,Yukon,Females,"High school or less, household education","Low 95% confidence interval, percentage",Percent,25
2017/2018,Yukon,Females,"High school or less, household education","High 95% confidence interval, percentage",Percent,46.4
2017/2018,Yukon,Females,"At least post-secondary education, household education",Number of persons,Number,4000
2017/2018,Yukon,Females,"At least post-secondary education, household education",Percentage of persons,Percent,33
2017/2018,Yukon,Females,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,27.5
2017/2018,Yukon,Females,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,38.9
2017/2018,Yukon,Females,"Lowest income, household income",Number of persons,Number,
2017/2018,Yukon,Females,"Lowest income, household income",Percentage of persons,Percent,
2017/2018,Yukon,Females,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Females,"Lowest income, household income","High 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Females,"Middle income, household income",Number of persons,Number,
2017/2018,Yukon,Females,"Middle income, household income",Percentage of persons,Percent,
2017/2018,Yukon,Females,"Middle income, household income","Low 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Females,"Middle income, household income","High 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Females,"Highest income, household income",Number of persons,Number,
2017/2018,Yukon,Females,"Highest income, household income",Percentage of persons,Percent,
2017/2018,Yukon,Females,"Highest income, household income","Low 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Females,"Highest income, household income","High 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Females,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,1000
2017/2018,Yukon,Females,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,43.6
2017/2018,Yukon,Females,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,30.3
2017/2018,Yukon,Females,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,57.9
2017/2018,Yukon,Females,"Non-immigrants, immigrant status",Number of persons,Number,4200
2017/2018,Yukon,Females,"Non-immigrants, immigrant status",Percentage of persons,Percent,32.7
2017/2018,Yukon,Females,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,26.6
2017/2018,Yukon,Females,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,39.6
2017/2018,Yukon,Females,"Visible minority, visible minority or Indigenous",Number of persons,Number,
2017/2018,Yukon,Females,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,
2017/2018,Yukon,Females,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Females,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Females,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,1300
2017/2018,Yukon,Females,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,39.7
2017/2018,Yukon,Females,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,23.9
2017/2018,Yukon,Females,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,58.1
2017/2018,Yukon,Females,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,3200
2017/2018,Yukon,Females,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,32.3
2017/2018,Yukon,Females,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,26.4
2017/2018,Yukon,Females,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,38.9
2017/2018,Yukon,Females,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,Yukon,Females,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,Yukon,Females,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,Yukon,Females,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Both sexes,"Total, selected characteristics",Number of persons,Number,12900
2017/2018,Northwest Territories,Both sexes,"Total, selected characteristics",Percentage of persons,Percent,39.6
2017/2018,Northwest Territories,Both sexes,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,34.7
2017/2018,Northwest Territories,Both sexes,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,44.8
2017/2018,Northwest Territories,Both sexes,"High school or less, household education",Number of persons,Number,3000
2017/2018,Northwest Territories,Both sexes,"High school or less, household education",Percentage of persons,Percent,40.6
2017/2018,Northwest Territories,Both sexes,"High school or less, household education","Low 95% confidence interval, percentage",Percent,29.4
2017/2018,Northwest Territories,Both sexes,"High school or less, household education","High 95% confidence interval, percentage",Percent,52.9
2017/2018,Northwest Territories,Both sexes,"At least post-secondary education, household education",Number of persons,Number,8900
2017/2018,Northwest Territories,Both sexes,"At least post-secondary education, household education",Percentage of persons,Percent,40.8
2017/2018,Northwest Territories,Both sexes,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,35.7
2017/2018,Northwest Territories,Both sexes,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,46.2
2017/2018,Northwest Territories,Both sexes,"Lowest income, household income",Number of persons,Number,
2017/2018,Northwest Territories,Both sexes,"Lowest income, household income",Percentage of persons,Percent,
2017/2018,Northwest Territories,Both sexes,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Both sexes,"Lowest income, household income","High 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Both sexes,"Middle income, household income",Number of persons,Number,
2017/2018,Northwest Territories,Both sexes,"Middle income, household income",Percentage of persons,Percent,
2017/2018,Northwest Territories,Both sexes,"Middle income, household income","Low 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Both sexes,"Middle income, household income","High 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Both sexes,"Highest income, household income",Number of persons,Number,
2017/2018,Northwest Territories,Both sexes,"Highest income, household income",Percentage of persons,Percent,
2017/2018,Northwest Territories,Both sexes,"Highest income, household income","Low 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Both sexes,"Highest income, household income","High 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Both sexes,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,1500
2017/2018,Northwest Territories,Both sexes,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,33.8
2017/2018,Northwest Territories,Both sexes,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,23.8
2017/2018,Northwest Territories,Both sexes,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,45.4
2017/2018,Northwest Territories,Both sexes,"Non-immigrants, immigrant status",Number of persons,Number,11400
2017/2018,Northwest Territories,Both sexes,"Non-immigrants, immigrant status",Percentage of persons,Percent,40.6
2017/2018,Northwest Territories,Both sexes,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,35.2
2017/2018,Northwest Territories,Both sexes,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,46.2
2017/2018,Northwest Territories,Both sexes,"Visible minority, visible minority or Indigenous",Number of persons,Number,1000
2017/2018,Northwest Territories,Both sexes,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,24.6
2017/2018,Northwest Territories,Both sexes,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,15.7
2017/2018,Northwest Territories,Both sexes,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,36.4
2017/2018,Northwest Territories,Both sexes,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,7000
2017/2018,Northwest Territories,Both sexes,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,42
2017/2018,Northwest Territories,Both sexes,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,34.5
2017/2018,Northwest Territories,Both sexes,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,49.9
2017/2018,Northwest Territories,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,4900
2017/2018,Northwest Territories,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,41.6
2017/2018,Northwest Territories,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,35
2017/2018,Northwest Territories,Both sexes,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,48.5
2017/2018,Northwest Territories,Both sexes,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,Northwest Territories,Both sexes,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,Northwest Territories,Both sexes,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Both sexes,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Males,"Total, selected characteristics",Number of persons,Number,6200
2017/2018,Northwest Territories,Males,"Total, selected characteristics",Percentage of persons,Percent,37.7
2017/2018,Northwest Territories,Males,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,30.8
2017/2018,Northwest Territories,Males,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,45.1
2017/2018,Northwest Territories,Males,"High school or less, household education",Number of persons,Number,1500
2017/2018,Northwest Territories,Males,"High school or less, household education",Percentage of persons,Percent,37.5
2017/2018,Northwest Territories,Males,"High school or less, household education","Low 95% confidence interval, percentage",Percent,25
2017/2018,Northwest Territories,Males,"High school or less, household education","High 95% confidence interval, percentage",Percent,51.9
2017/2018,Northwest Territories,Males,"At least post-secondary education, household education",Number of persons,Number,4000
2017/2018,Northwest Territories,Males,"At least post-secondary education, household education",Percentage of persons,Percent,38.2
2017/2018,Northwest Territories,Males,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,30.4
2017/2018,Northwest Territories,Males,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,46.7
2017/2018,Northwest Territories,Males,"Lowest income, household income",Number of persons,Number,
2017/2018,Northwest Territories,Males,"Lowest income, household income",Percentage of persons,Percent,
2017/2018,Northwest Territories,Males,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Males,"Lowest income, household income","High 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Males,"Middle income, household income",Number of persons,Number,
2017/2018,Northwest Territories,Males,"Middle income, household income",Percentage of persons,Percent,
2017/2018,Northwest Territories,Males,"Middle income, household income","Low 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Males,"Middle income, household income","High 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Males,"Highest income, household income",Number of persons,Number,
2017/2018,Northwest Territories,Males,"Highest income, household income",Percentage of persons,Percent,
2017/2018,Northwest Territories,Males,"Highest income, household income","Low 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Males,"Highest income, household income","High 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Males,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,900
2017/2018,Northwest Territories,Males,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,36.9
2017/2018,Northwest Territories,Males,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,22.2
2017/2018,Northwest Territories,Males,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,54.4
2017/2018,Northwest Territories,Males,"Non-immigrants, immigrant status",Number of persons,Number,5300
2017/2018,Northwest Territories,Males,"Non-immigrants, immigrant status",Percentage of persons,Percent,37.8
2017/2018,Northwest Territories,Males,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,30.6
2017/2018,Northwest Territories,Males,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,45.6
2017/2018,Northwest Territories,Males,"Visible minority, visible minority or Indigenous",Number of persons,Number,600
2017/2018,Northwest Territories,Males,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,26.7
2017/2018,Northwest Territories,Males,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,12.5
2017/2018,Northwest Territories,Males,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,48.1
2017/2018,Northwest Territories,Males,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,2700
2017/2018,Northwest Territories,Males,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,33.8
2017/2018,Northwest Territories,Males,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,23.8
2017/2018,Northwest Territories,Males,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,45.6
2017/2018,Northwest Territories,Males,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,2800
2017/2018,Northwest Territories,Males,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,47.2
2017/2018,Northwest Territories,Males,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,38.4
2017/2018,Northwest Territories,Males,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,56.2
2017/2018,Northwest Territories,Males,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,Northwest Territories,Males,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,Northwest Territories,Males,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Males,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Females,"Total, selected characteristics",Number of persons,Number,6700
2017/2018,Northwest Territories,Females,"Total, selected characteristics",Percentage of persons,Percent,41.6
2017/2018,Northwest Territories,Females,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,34.2
2017/2018,Northwest Territories,Females,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,49.4
2017/2018,Northwest Territories,Females,"High school or less, household education",Number of persons,Number,1500
2017/2018,Northwest Territories,Females,"High school or less, household education",Percentage of persons,Percent,44.2
2017/2018,Northwest Territories,Females,"High school or less, household education","Low 95% confidence interval, percentage",Percent,27.8
2017/2018,Northwest Territories,Females,"High school or less, household education","High 95% confidence interval, percentage",Percent,62
2017/2018,Northwest Territories,Females,"At least post-secondary education, household education",Number of persons,Number,4900
2017/2018,Northwest Territories,Females,"At least post-secondary education, household education",Percentage of persons,Percent,43.3
2017/2018,Northwest Territories,Females,"At least post-secondary education, household education","Low 95% confidence interval, percentage",Percent,36.3
2017/2018,Northwest Territories,Females,"At least post-secondary education, household education","High 95% confidence interval, percentage",Percent,50.5
2017/2018,Northwest Territories,Females,"Lowest income, household income",Number of persons,Number,
2017/2018,Northwest Territories,Females,"Lowest income, household income",Percentage of persons,Percent,
2017/2018,Northwest Territories,Females,"Lowest income, household income","Low 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Females,"Lowest income, household income","High 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Females,"Middle income, household income",Number of persons,Number,
2017/2018,Northwest Territories,Females,"Middle income, household income",Percentage of persons,Percent,
2017/2018,Northwest Territories,Females,"Middle income, household income","Low 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Females,"Middle income, household income","High 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Females,"Highest income, household income",Number of persons,Number,
2017/2018,Northwest Territories,Females,"Highest income, household income",Percentage of persons,Percent,
2017/2018,Northwest Territories,Females,"Highest income, household income","Low 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Females,"Highest income, household income","High 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Females,"Landed immigrant or non-permanent resident, immigrant status",Number of persons,Number,600
2017/2018,Northwest Territories,Females,"Landed immigrant or non-permanent resident, immigrant status",Percentage of persons,Percent,30.2
2017/2018,Northwest Territories,Females,"Landed immigrant or non-permanent resident, immigrant status","Low 95% confidence interval, percentage",Percent,18.1
2017/2018,Northwest Territories,Females,"Landed immigrant or non-permanent resident, immigrant status","High 95% confidence interval, percentage",Percent,45.9
2017/2018,Northwest Territories,Females,"Non-immigrants, immigrant status",Number of persons,Number,6100
2017/2018,Northwest Territories,Females,"Non-immigrants, immigrant status",Percentage of persons,Percent,43.3
2017/2018,Northwest Territories,Females,"Non-immigrants, immigrant status","Low 95% confidence interval, percentage",Percent,34.9
2017/2018,Northwest Territories,Females,"Non-immigrants, immigrant status","High 95% confidence interval, percentage",Percent,52.1
2017/2018,Northwest Territories,Females,"Visible minority, visible minority or Indigenous",Number of persons,Number,400
2017/2018,Northwest Territories,Females,"Visible minority, visible minority or Indigenous",Percentage of persons,Percent,22.1
2017/2018,Northwest Territories,Females,"Visible minority, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,11.3
2017/2018,Northwest Territories,Females,"Visible minority, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,38.7
2017/2018,Northwest Territories,Females,"Indigenous identity, visible minority or Indigenous",Number of persons,Number,4200
2017/2018,Northwest Territories,Females,"Indigenous identity, visible minority or Indigenous",Percentage of persons,Percent,49.9
2017/2018,Northwest Territories,Females,"Indigenous identity, visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,39.5
2017/2018,Northwest Territories,Females,"Indigenous identity, visible minority or Indigenous","High 95% confidence interval, percentage",Percent,60.3
2017/2018,Northwest Territories,Females,"Not visible minority or Indigenous,  visible minority or Indigenous",Number of persons,Number,2000
2017/2018,Northwest Territories,Females,"Not visible minority or Indigenous,  visible minority or Indigenous",Percentage of persons,Percent,35.6
2017/2018,Northwest Territories,Females,"Not visible minority or Indigenous,  visible minority or Indigenous","Low 95% confidence interval, percentage",Percent,26
2017/2018,Northwest Territories,Females,"Not visible minority or Indigenous,  visible minority or Indigenous","High 95% confidence interval, percentage",Percent,46.6
2017/2018,Northwest Territories,Females,"Other background, cultural or racial background",Number of persons,Number,
2017/2018,Northwest Territories,Females,"Other background, cultural or racial background",Percentage of persons,Percent,
2017/2018,Northwest Territories,Females,"Other background, cultural or racial background","Low 95% confidence interval, percentage",Percent,
2017/2018,Northwest Territories,Females,"Other background, cultural or racial background","High 95% confidence interval, percentage",Percent,
2017/2018,Nunavut,Both sexes,"Total, selected characteristics",Number of persons,Number,8300
2017/2018,Nunavut,Both sexes,"Total, selected characteristics",Percentage of persons,Percent,33.6
2017/2018,Nunavut,Both sexes,"Total, selected characteristics","Low 95% confidence interval, percentage",Percent,29.8
2017/2018,Nunavut,Both sexes,"Total, selected characteristics","High 95% confidence interval, percentage",Percent,37.5
2017/2018,Nunavut,Both sexes,"High school or less, household education",Number of persons,Number,3100
